order_id,product_id,quantity,price
536365,85123A,6,2.55
536365,71053,6,3.39
536365,84406B,8,2.75
536365,84029G,6,3.39
536365,84029E,6,3.39
536365,22752,2,7.65
536365,21730,6,4.25
536366,22633,6,1.85
536366,22632,6,1.85
536367,84879,32,1.69
536367,22745,6,2.1
536367,22748,6,2.1
536367,22749,8,3.75
536367,22310,6,1.65
536367,84969,6,4.25
536367,22623,3,4.95
536367,22622,2,9.95
536367,21754,3,5.95
536367,21755,3,5.95
536367,21777,4,7.95
536367,48187,4,7.95
536368,22960,6,4.25
536368,22913,3,4.95
536368,22912,3,4.95
536368,22914,3,4.95
536369,21756,3,5.95
536370,22728,24,3.75
536370,22727,24,3.75
536370,22726,12,3.75
536370,21724,12,0.85
536370,21883,24,0.65
536370,10002,48,0.85
536370,21791,24,1.25
536370,21035,18,2.95
536370,22326,24,2.95
536370,22629,24,1.95
536370,22659,24,1.95
536370,22631,24,1.95
536370,22661,20,0.85
536370,21731,24,1.65
536370,22900,24,2.95
536370,21913,12,3.75
536370,22540,24,0.42
536370,22544,24,0.42
536370,22492,36,0.65
536370,POST,3,18
536371,22086,80,2.55
536372,22632,6,1.85
536372,22633,6,1.85
536373,85123A,6,2.55
536373,71053,6,3.39
536373,84406B,8,2.75
536373,20679,6,4.95
536373,37370,6,1.06
536373,21871,6,1.06
536373,21071,6,1.06
536373,21068,6,1.06
536373,82483,2,4.95
536373,82486,4,6.95
536373,82482,6,2.1
536373,82494L,6,2.55
536373,84029G,6,3.39
536373,84029E,6,3.39
536373,22752,2,7.65
536373,21730,6,4.25
536374,21258,32,10.95
536375,85123A,6,2.55
536375,71053,6,3.39
536375,84406B,8,2.75
536375,20679,6,4.95
536375,37370,6,1.06
536375,21871,6,1.06
536375,21071,6,1.06
536375,21068,6,1.06
536375,82483,2,4.95
536375,82486,4,6.95
536375,82482,6,2.1
536375,82494L,6,2.55
536375,84029G,6,3.39
536375,84029E,6,3.39
536375,22752,2,7.65
536375,21730,6,4.25
536376,22114,48,3.45
536376,21733,64,2.55
536377,22632,6,1.85
536377,22633,6,1.85
536378,22386,10,1.95
536378,85099C,10,1.95
536378,21033,10,2.95
536378,20723,10,0.85
536378,84997B,12,3.75
536378,84997C,6,3.75
536378,21094,12,0.85
536378,20725,10,1.65
536378,21559,6,2.55
536378,22352,6,2.55
536378,21212,120,0.42
536378,21975,24,0.55
536378,21977,24,0.55
536378,84991,24,0.55
536378,84519A,6,2.95
536378,85183B,48,1.25
536378,85071B,96,0.38
536378,21931,10,1.95
536378,21929,10,1.95
536380,22961,24,1.45
536381,22139,23,4.25
536381,84854,5,4.95
536381,22411,10,1.95
536381,82567,2,2.1
536381,21672,6,1.25
536381,22774,24,1.25
536381,22771,24,1.25
536381,71270,1,1.25
536381,22262,1,0.85
536381,22637,1,2.55
536381,21934,10,1.65
536381,21169,3,1.69
536381,21166,1,1.95
536381,21175,2,2.1
536381,37444A,1,2.95
536381,37444C,1,2.95
536381,22086,4,2.95
536381,22083,1,2.95
536381,84971S,6,0.85
536381,71270,3,1.25
536381,47580,2,2.55
536381,22261,1,0.85
536381,84832,1,0.85
536381,22644,1,1.45
536381,21533,1,4.95
536381,21557,2,2.95
536381,15056BL,2,5.95
536381,15056N,2,5.95
536381,22646,4,1.45
536381,22176,1,2.95
536381,22438,1,1.95
536381,21731,2,1.65
536381,22778,3,3.95
536381,22719,36,1.06
536381,21523,10,6.75
C536379,D,-1,27.5
536382,10002,12,0.85
536382,21912,8,3.75
536382,21832,12,1.65
536382,22411,10,1.95
536382,22379,10,2.1
536382,22381,50,1.85
536382,22798,8,2.95
536382,22726,4,3.75
536382,22926,12,5.95
536382,22839,2,14.95
536382,22838,2,14.95
536382,22783,4,16.95
C536383,35004C,-1,4.65
536384,82484,3,6.45
536384,84755,48,0.65
536384,22464,12,1.65
536384,21324,6,2.95
536384,22457,12,2.95
536384,22469,40,1.45
536384,22470,40,2.55
536384,22224,6,2.95
536384,21340,2,12.75
536384,22189,4,3.95
536384,22427,3,5.95
536384,22428,6,6.95
536384,22424,8,10.95
536385,22783,1,19.95
536385,22961,12,1.45
536385,22960,6,4.25
536385,22663,10,1.95
536385,85049A,12,1.25
536385,22168,2,8.5
536385,22662,10,1.65
536386,84880,36,4.95
536386,85099C,100,1.65
536386,85099B,100,1.65
536387,79321,192,3.82
536387,22780,192,3.37
536387,22779,192,3.37
536387,22466,432,1.45
536387,21731,432,1.25
536388,21754,3,5.95
536388,21755,3,5.95
536388,21523,2,7.95
536388,21363,3,4.95
536388,21411,3,4.25
536388,22318,6,2.95
536388,22464,12,1.65
536388,22915,12,0.42
536388,22922,12,0.85
536388,22969,12,1.45
536388,22923,12,0.85
536388,21115,4,6.75
536388,22469,12,1.65
536388,22242,12,1.65
536389,22941,6,8.5
536389,21622,8,4.95
536389,21791,12,1.25
536389,35004C,6,5.45
536389,35004G,4,6.35
536389,85014B,6,5.95
536389,85014A,3,5.95
536389,22193,2,8.5
536389,22726,4,3.75
536389,22727,4,3.75
536389,22192,2,8.5
536389,22191,2,8.5
536389,22195,24,1.65
536389,22196,24,0.85
536390,22941,2,8.5
536390,22960,12,3.75
536390,22961,12,1.45
536390,22962,48,0.72
536390,22963,48,0.72
536390,22968,8,8.5
536390,84970S,144,0.64
536390,22910,40,2.55
536390,20668,288,0.1
536390,85123A,64,2.55
536390,22197,100,0.72
536390,22198,50,1.45
536390,21533,12,4.25
536390,21080,96,0.64
536390,21094,96,0.64
536390,21086,48,0.65
536390,21786,144,0.32
536390,22654,40,4.95
536390,21485,24,4.25
536390,84029G,24,3.39
536390,84030E,24,3.75
536390,22174,48,1.48
536390,22969,96,1.25
536390,85099B,100,1.65
C536391,22556,-12,1.65
C536391,21984,-24,0.29
C536391,21983,-24,0.29
C536391,21980,-24,0.29
C536391,21484,-12,3.45
C536391,22557,-12,1.65
C536391,22553,-24,1.65
536392,22150,6,1.95
536392,22619,4,3.75
536392,21891,12,1.25
536392,21889,12,1.25
536392,22827,1,165
536392,22127,12,1.25
536392,22128,12,1.25
536392,22502,4,5.95
536392,84879,16,1.69
536392,22338,24,0.65
536393,22180,8,9.95
536394,21506,24,0.42
536394,22633,96,1.85
536394,22866,96,1.85
536394,22865,96,1.85
536394,22632,96,1.85
536394,21485,12,4.95
536394,22349,12,3.75
536394,22558,48,1.25
536394,85152,12,2.1
536394,85123A,32,2.55
536394,22652,20,1.65
536395,22188,8,3.95
536395,84879,32,1.69
536395,21977,24,0.55
536395,84991,24,0.55
536395,21212,24,0.55
536395,21484,8,3.45
536395,21314,8,2.1
536395,22730,4,3.75
536395,22727,8,3.75
536395,22729,8,3.75
536395,22726,8,3.75
536395,22114,8,3.95
536395,22867,48,2.1
536395,22866,48,2.1
536396,85123A,6,2.55
536396,71053,6,3.39
536396,84406B,8,2.75
536396,15056BL,6,4.95
536396,20679,6,4.95
536396,37370,6,1.06
536396,21871,6,1.06
536396,21071,6,1.06
536396,21068,6,1.06
536396,82483,2,4.95
536396,82486,4,6.95
536396,82482,6,2.1
536396,82494L,12,2.55
536396,84029G,6,3.39
536396,84029E,6,3.39
536396,22752,2,7.65
536396,22803,2,35.75
536396,21730,6,4.25
536397,35004B,12,4.65
536397,35004C,48,4.65
536398,21980,24,0.29
536398,21844,6,2.95
536398,22468,4,6.75
536398,22637,8,2.55
536398,22752,6,8.5
536398,48185,2,7.95
536398,22632,12,2.1
536398,22866,12,2.1
536398,22865,12,2.1
536398,21232,12,1.25
